title,company,location,posted_date,apply_url,source,category,application_status,notes,date_applied,scraped_at
React Developer,PEN Group,"Chattogram, Bangladesh",2026-04-20,https://bd.linkedin.com/jobs/view/react-developer-at-pen-group-4401615290,linkedin.com,web developer,Not Applied,,,2026-05-19
Full Stack AI Engineer,TygrLabs,"Dhaka, Dhaka, Bangladesh",2026-05-05,https://bd.linkedin.com/jobs/view/full-stack-ai-engineer-at-tygrlabs-4409346804,linkedin.com,web developer,Not Applied,,,2026-05-19
Full Stack Web Developer - (For CAREZONE) - Job ID - 1482046,Bdjobs.com,"Dhaka, Bangladesh",2026-04-28,https://bd.linkedin.com/jobs/view/full-stack-web-developer-for-carezone-job-id-1482046-at-bdjobs-com-4405199611,linkedin.com,web developer,Not Applied,,,2026-05-19
Drupal Frontend Developer,WPP Production Chennai,"Dhaka, Dhaka, Bangladesh",2026-05-07,https://bd.linkedin.com/jobs/view/drupal-frontend-developer-at-wpp-production-chennai-4410829152,linkedin.com,web developer,Not Applied,,,2026-05-19
Frontend UI Engineer (HTML/CSS Focused) - For Aitek Ltd.- Job ID: 1485275,Bdjobs.com,"Dhaka, Bangladesh",2026-05-07,https://bd.linkedin.com/jobs/view/frontend-ui-engineer-html-css-focused-for-aitek-ltd-job-id-1485275-at-bdjobs-com-4409252758,linkedin.com,web developer,Not Applied,,,2026-05-19
"Backend / Full-Stack Developer (Remote, Full-Time) - For Real Edge Solutions LLC - Job ID: 1483624",Bdjobs.com,"Dhaka, Bangladesh",2026-05-02,https://bd.linkedin.com/jobs/view/backend-full-stack-developer-remote-full-time-for-real-edge-solutions-llc-job-id-1483624-at-bdjobs-com-4407250895,linkedin.com,web developer,Not Applied,,,2026-05-19
Full Stack Web Developer- AviroSoft- Job ID:1481842,Bdjobs.com,"Dhaka, Bangladesh",2026-04-27,https://bd.linkedin.com/jobs/view/full-stack-web-developer-avirosoft-job-id-1481842-at-bdjobs-com-4404693539,linkedin.com,web developer,Not Applied,,,2026-05-19
"Full Stack Developer - For XOR Co., Ltd. - Job ID - 1487168",Bdjobs.com,"Dhaka, Bangladesh",2026-05-12,https://bd.linkedin.com/jobs/view/full-stack-developer-for-xor-co-ltd-job-id-1487168-at-bdjobs-com-4410134502,linkedin.com,web developer,Not Applied,,,2026-05-19
Full Stack Web Developer (For EduTune Learning Technologies Limited) - Job ID: 1484394,Bdjobs.com,"Khulna, Bangladesh",2026-05-05,https://bd.linkedin.com/jobs/view/full-stack-web-developer-for-edutune-learning-technologies-limited-job-id-1484394-at-bdjobs-com-4408182250,linkedin.com,web developer,Not Applied,,,2026-05-19
Web Developer (Intern) - For Nextgen Technologies - Job ID: 1482347,Bdjobs.com,"Chattogram, Bangladesh",2026-04-28,https://bd.linkedin.com/jobs/view/web-developer-intern-for-nextgen-technologies-job-id-1482347-at-bdjobs-com-4405520652,linkedin.com,web developer,Not Applied,,,2026-05-19
Full Stack Developer (.NET & Angular),Falaq Food,"Dhaka, Bangladesh",2026-05-12,https://bd.linkedin.com/jobs/view/full-stack-developer-net-angular-at-falaq-food-4413412626,linkedin.com,web developer,Not Applied,,,2026-05-19
Mid-Level Frontend Engineer (AI+CRM+CRM),Commercial Lending USA,"Mirpur, Dhaka, Bangladesh",2026-05-17,https://bd.linkedin.com/jobs/view/mid-level-frontend-engineer-ai%2Bcrm%2Bcrm-at-commercial-lending-usa-4386749971,linkedin.com,web developer,Not Applied,,,2026-05-19
Sr. Frontend Developer (React JS),Bdtask,"Khilkhet Thana, Dhaka, Bangladesh",2026-05-14,https://bd.linkedin.com/jobs/view/sr-frontend-developer-react-js-at-bdtask-4414526952,linkedin.com,web developer,Not Applied,,,2026-05-19
